bowling,over,maiden,run,wickets,economy_rate,0s,4s,6s,wide,no_ball,match_id
Hardik Pandya,1,0,7,0,7.00,2,1,0,0,0,1359504
Rahul Tewatia,1,0,8,0,8.00,4,0,1,1,0,1359504
Bhuvneshwar Kumar,2,0,10,0,5.00,7,1,0,0,0,1359503
Marco Jansen,3,0,37,0,12.33,5,6,1,0,0,1359503
Aiden Markram,1,0,11,0,11.00,2,2,0,0,0,1359503
Washington Sundar,2.4,0,16,0,6.00,4,1,0,0,0,1359503
Mayank Markande,4,0,23,2,5.75,8,2,0,0,0,1359503
Umran Malik,3,0,18,0,6.00,8,2,0,0,0,1359503
Mayank Dagar,3,0,21,0,7.00,5,2,0,0,0,1359503
Umesh Yadav,1,0,6,0,6.00,3,1,0,0,0,1359502
Kulwant Khejroliya,1.2,0,20,0,15.00,2,3,0,0,1,1359502
Andre Russell,1,0,12,0,12.00,3,2,0,0,1,1359502
Sunil Narine,4,0,36,0,9.00,7,6,0,1,0,1359502
Varun Chakravarthy,4,1,16,2,4.00,14,2,0,0,0,1359502
Anukul Roy,4,0,19,2,4.75,13,2,0,2,0,1359502
Nitish Rana,4,0,17,2,4.25,10,1,0,0,0,1359502
Mohammed Siraj,4,0,21,4,5.25,13,3,0,0,0,1359501
Wayne Parnell,3,0,32,1,10.66,9,1,4,0,0,1359501
Wanindu Hasaranga,4,0,39,2,9.75,7,2,3,0,0,1359501
Vijaykumar Vyshak,3,0,29,0,9.66,6,2,2,1,0,1359501
Glenn Maxwell,1,0,5,0,5.00,1,0,0,0,0,1359501
Harshal Patel,3.2,0,22,1,6.60,10,1,1,1,1,1359501
Naveen-ul-Haq,4,0,19,0,4.75,11,0,1,1,0,1359500
Yudhvir Singh,2,0,27,0,13.50,6,2,2,1,0,1359500
Avesh Khan,4,0,25,3,6.25,12,4,0,0,0,1359500
Marcus Stoinis,4,0,28,2,7.00,11,3,1,0,0,1359500
Ravi Bishnoi,4,0,25,0,6.25,8,2,0,0,1,1359500
Amit Mishra,2,0,15,0,7.50,3,2,0,0,0,1359500
Arjun Tendulkar,2.5,0,18,1,6.35,9,2,0,3,0,1359499
Jason Behrendorff,4,0,37,2,9.25,7,5,0,1,0,1359499
Riley Meredith,4,0,33,2,8.25,10,3,1,3,0,1359499
Hrithik Shokeen,1,0,12,0,12.00,1,0,1,0,0,1359499
Piyush Chawla,4,0,43,2,10.75,5,4,2,0,0,1359499
Cameron Green,4,0,29,1,7.25,9,4,0,1,0,1359499
Akash Singh,3,0,35,1,11.66,9,3,3,0,0,1359498
Tushar Deshpande,4,0,45,3,11.25,9,5,2,3,0,1359498
Maheesh Theekshana,4,0,41,1,10.25,4,1,3,1,0,1359498
Ravindra Jadeja,4,0,37,0,9.25,3,0,3,0,0,1359498
Matheesha Pathirana,4,0,42,2,10.50,9,3,3,2,0,1359498
Moeen Ali,1,0,13,1,13.00,3,0,2,0,0,1359498
Mohammed Shami,4,1,25,3,6.25,18,1,3,1,0,1359497
Hardik Pandya,4,0,24,1,6.00,14,3,1,0,0,1359497
Alzarri Joseph,3,0,47,0,15.66,2,3,4,0,0,1359497
Rashid Khan,4,0,46,2,11.50,7,1,5,0,0,1359497
Mohit Sharma,2,0,7,0,3.50,5,0,0,0,0,1359497
Noor Ahmad,2.2,0,29,1,12.42,3,2,2,1,0,1359497
Umesh Yadav,2,0,19,0,9.50,6,1,2,0,0,1359496
Shardul Thakur,2,0,25,1,12.50,2,3,1,1,0,1359496
Sunil Narine,3,0,41,0,13.66,4,3,3,1,0,1359496
Suyash Sharma,4,0,27,2,6.75,11,3,1,0,0,1359496
Varun Chakravarthy,4,0,38,1,9.50,10,2,3,1,0,1359496
Lockie Ferguson,1.4,0,19,1,11.40,4,1,2,0,0,1359496
Andre Russell,1,0,17,0,17.00,1,2,1,0,0,1359496
Yudhvir Singh,3,0,19,2,6.33,11,4,0,0,0,1359495
Avesh Khan,3,0,24,0,8.00,8,4,0,1,0,1359495
Mark Wood,4,0,35,2,8.75,10,2,2,2,0,1359495
Krishnappa Gowtham,4,0,31,1,7.75,10,1,2,1,0,1359495
Krunal Pandya,3,0,32,1,10.66,6,3,2,0,0,1359495
Ravi Bishnoi,2.3,0,18,2,7.20,7,2,0,1,0,1359495
Mohammed Siraj,4,0,23,2,5.75,14,4,0,0,0,1359494
Wayne Parnell,4,0,28,1,7.00,10,3,1,0,0,1359494
Vijaykumar Vyshak,4,0,20,3,5.00,11,2,0,0,0,1359494
Shahbaz Ahmed,1,0,11,0,11.00,0,1,0,0,0,1359494
Wanindu Hasaranga,3,0,37,1,12.33,4,5,1,0,0,1359494
Harshal Patel,4,0,32,1,8.00,7,3,0,3,0,1359494
Bhuvneshwar Kumar,4,1,29,1,7.25,10,4,0,1,0,1359493
Marco Jansen,4,0,37,2,9.25,12,1,3,4,2,1359493
T Natarajan,4,0,54,1,13.50,6,6,3,1,0,1359493
Umran Malik,2,0,36,1,18.00,3,4,3,0,0,1359493
Mayank Markande,4,0,27,2,6.75,10,2,1,0,0,1359493
Washington Sundar,2,0,20,0,10.00,2,1,1,0,0,1359493
Arshdeep Singh,4,0,33,1,8.25,8,5,0,0,0,1359492
Kagiso Rabada,4,0,36,1,9.00,11,5,1,0,0,1359492
Harpreet Brar,4,0,20,1,5.00,8,1,0,0,0,1359492
Sam Curran,3.5,0,25,1,6.52,7,2,0,0,0,1359492
Rahul Chahar,3,0,24,0,8.00,4,3,0,0,0,1359492
Matthew Short,1,0,8,0,8.00,1,1,0,0,0,1359492
Sandeep Sharma,3,0,30,1,10.00,6,1,2,2,0,1359491
Kuldeep Sen,2,0,8,0,4.00,4,0,0,0,0,1359491
Jason Holder,3,0,37,0,12.33,4,4,2,1,0,1359491
Adam Zampa,4,0,43,1,10.75,5,4,1,1,0,1359491
Ravichandran Ashwin,4,0,25,2,6.25,10,1,1,2,0,1359491
Yuzvendra Chahal,4,0,27,2,6.75,8,2,0,1,0,1359491
Mukesh Kumar,2,0,30,2,15.00,6,3,3,0,0,1359490
Mustafizur Rahman,4,0,38,1,9.50,11,5,2,0,0,1359490
Anrich Nortje,4,0,35,0,8.75,8,2,2,0,0,1359490
Lalit Yadav,4,0,23,0,5.75,10,1,1,1,0,1359490
Axar Patel,4,0,20,0,5.00,12,2,0,1,0,1359490
Kuldeep Yadav,2,0,23,0,11.50,2,1,2,0,0,1359490
Mohammed Siraj,4,0,22,3,5.50,16,3,0,4,0,1359489
David Willey,4,0,32,0,8.00,6,2,1,1,0,1359489
Wayne Parnell,4,0,41,3,10.25,6,5,1,3,0,1359489
Harshal Patel,4,0,48,2,12.00,5,4,3,0,0,1359489
Karn Sharma,3,0,48,1,16.00,5,3,5,1,0,1359489
Shahbaz Ahmed,1,0,15,0,15.00,1,0,2,0,0,1359489
Sam Curran,3,0,14,0,4.66,8,1,0,0,0,1359488
Arshdeep Singh,3,0,20,1,6.66,10,4,0,0,0,1359488
Harpreet Brar,3.1,0,26,0,8.21,8,5,0,0,0,1359488
Nathan Ellis,3,0,28,0,9.33,5,5,0,0,0,1359488
Rahul Chahar,3,0,28,1,9.33,8,4,1,0,0,1359488
Mohit Rathee,2,0,29,0,14.50,3,3,2,0,0,1359488
Mohammed Shami,4,0,28,1,7.00,10,2,1,0,0,1359487
Josh Little,4,0,45,1,11.25,9,4,3,3,0,1359487
Alzarri Joseph,4,0,27,2,6.75,14,2,2,0,0,1359487
Yash Dayal,4,0,69,0,17.25,4,3,8,0,0,1359487
Rashid Khan,4,0,37,3,9.25,6,4,1,0,0,1359487
Jason Behrendorff,3,0,24,1,8.00,9,2,1,1,0,1359486
Arshad Khan,2.1,0,35,0,16.15,2,5,1,3,0,1359486
Cameron Green,3,0,20,0,6.66,6,0,1,1,0,1359486
Piyush Chawla,4,0,33,1,8.25,8,5,0,0,0,1359486
Kumar Kartikeya,4,0,24,1,6.00,6,0,1,0,0,1359486
Hrithik Shokeen,2,0,19,0,9.50,4,2,1,0,0,1359486
Trent Boult,4,1,29,3,7.25,11,5,0,0,0,1359485
Sandeep Sharma,4,0,20,1,5.00,11,2,0,1,0,1359485
Ravichandran Ashwin,4,0,25,2,6.25,10,2,0,3,0,1359485
Jason Holder,3,0,28,0,9.33,4,4,0,1,0,1359485
Yuzvendra Chahal,4,0,27,3,6.75,8,2,0,2,0,1359485
Murugan Ashwin,1,0,11,0,11.00,0,0,0,0,1,1359485
Bhuvneshwar Kumar,2,0,19,1,9.50,7,1,1,1,0,1359484
Washington Sundar,1,0,11,0,11.00,1,2,0,0,0,1359484
Fazalhaq Farooqi,3,0,13,1,4.33,12,2,0,1,0,1359484
Aiden Markram,2,0,14,0,7.00,5,2,0,0,0,1359484
Adil Rashid,3,0,23,2,7.66,8,2,1,0,0,1359484
T Natarajan,3,0,23,0,7.66,7,1,1,1,0,1359484
Umran Malik,2,0,22,1,11.00,7,3,0,2,0,1359484
Umesh Yadav,2,0,17,0,8.50,5,3,0,0,0,1359483
Tim Southee,2,0,25,0,12.50,5,2,2,0,0,1359483
Sunil Narine,4,0,16,2,4.00,12,1,0,0,0,1359483
Varun Chakravarthy,3.4,0,15,4,4.09,13,2,0,0,0,1359483
Suyash Sharma,4,0,30,3,7.50,11,2,2,1,0,1359483
Shardul Thakur,2,0,15,1,7.50,4,2,0,0,0,1359483
Sam Curran,4,0,44,0,11.00,7,3,3,0,0,1359482
Arshdeep Singh,4,0,47,2,11.75,10,4,3,3,0,1359482
Harpreet Brar,2,0,15,0,7.50,5,2,0,0,0,1359482
Nathan Ellis,4,0,30,4,7.50,11,2,2,0,0,1359482
Rahul Chahar,4,0,31,0,7.75,5,1,1,0,0,1359482
Sikandar Raza,2,0,24,0,12.00,2,1,1,2,0,1359482
Khaleel Ahmed,4,0,38,1,9.50,9,5,1,1,0,1359481
Mukesh Kumar,4,0,42,0,10.50,8,5,2,1,0,1359481
Anrich Nortje,4,0,39,2,9.75,9,3,2,0,2,1359481
Mitchell Marsh,3.1,0,24,1,7.57,4,1,0,1,0,1359481
Kuldeep Yadav,3,0,18,0,6.00,5,1,0,1,0,1359481
Deepak Chahar,4,0,55,0,13.75,6,7,1,5,0,1359480
Ben Stokes,1,0,18,0,18.00,0,2,1,0,0,1359480
Tushar Deshpande,4,0,45,2,11.25,7,2,2,4,3,1359480
Moeen Ali,4,0,26,4,6.50,10,0,1,1,0,1359480
Mitchell Santner,4,0,21,1,5.25,9,0,1,0,0,1359480
Rajvardhan Hangargekar,2,0,24,0,12.00,4,2,1,3,0,1359480
Ravindra Jadeja,1,0,14,0,14.00,2,0,2,0,0,1359480
Jason Behrendorff,3,0,37,0,12.33,6,3,3,0,0,1359479
Arshad Khan,2.2,0,28,1,12.00,7,2,2,4,0,1359479
Jofra Archer,4,0,33,0,8.25,10,2,2,0,0,1359479
Piyush Chawla,4,0,26,0,6.50,11,2,1,0,0,1359479
Cameron Green,2,0,30,1,15.00,4,2,3,0,0,1359479
Hrithik Shokeen,1,0,17,0,17.00,0,0,2,0,0,1359479
Trent Boult,4,1,21,2,5.25,15,2,1,0,0,1359478
KM Asif,3,0,15,0,5.00,9,1,0,1,0,1359478
Jason Holder,3,0,16,1,5.33,10,1,1,0,0,1359478
Ravichandran Ashwin,4,0,27,1,6.75,10,1,1,2,0,1359478
Yuzvendra Chahal,4,0,17,4,4.25,11,0,0,0,0,1359478
Navdeep Saini,2,0,34,0,17.00,3,3,2,0,3,1359478
Kyle Mayers,1,0,7,0,7.00,3,1,0,1,0,1359477
Jaydev Unadkat,3,0,39,0,13.00,3,5,0,2,0,1359477
Krishnappa Gowtham,4,0,23,0,5.75,9,2,0,1,0,1359477
Avesh Khan,4,0,29,2,7.25,12,3,1,0,0,1359477
Mark Wood,4,0,14,5,3.50,17,1,0,1,1,1359477
Ravi Bishnoi,4,0,31,2,7.75,8,3,1,0,0,1359477
Sam Curran,3,0,38,1,12.66,4,3,3,0,0,1359476
Arshdeep Singh,3,0,19,3,6.33,10,2,1,0,0,1359476
Nathan Ellis,3,0,27,1,9.00,8,2,1,0,2,1359476
Sikandar Raza,3,0,25,1,8.33,5,3,0,1,0,1359476
Rishi Dhawan,1,0,15,0,15.00,2,2,1,0,0,1359476
Rahul Chahar,2,0,12,1,6.00,5,0,1,0,0,1359476
Harpreet Brar,1,0,7,0,7.00,3,1,0,0,0,1359476
