batsman,out,run,ball,minutes,4s,6s,sr,match_id,batting_position,dismissed
Heinrich Klaasen, b Patel,104,51.0,62,8.0,6.0,203.92,1359539,4,1
Harry Brook,not out ,27,19.0,37,2.0,1.0,142.10,1359539,5,0
Glenn Phillips,c Parnell b Mohammed Siraj,5,4.0,10,1.0,0.0,125.00,1359539,6,1
David Warner,c Dhawan b Curran,46,31.0,53,5.0,2.0,148.38,1359538,1,1
Prithvi Shaw,c Taide b Curran,54,38.0,74,7.0,1.0,142.10,1359538,2,1
Rilee Rossouw,not out ,82,37.0,44,6.0,6.0,221.62,1359538,3,0
Phil Salt,not out ,26,14.0,21,2.0,2.0,185.71,1359538,4,0
Deepak Hooda,c David b Behrendorff,5,7.0,12,0.0,0.0,71.42,1359537,1,1
Quinton de Kock,c Ishan Kishan b Chawla,16,15.0,31,0.0,2.0,106.66,1359537,2,1
Prerak Mankad,c Ishan Kishan b Behrendorff,0,1.0,2,0.0,0.0,0.00,1359537,3,1
Krunal Pandya,retired hurt ,49,42.0,71,1.0,1.0,116.66,1359537,4,1
Marcus Stoinis,not out ,89,47.0,80,4.0,8.0,189.36,1359537,5,0
Nicholas Pooran,not out ,8,8.0,25,1.0,0.0,100.00,1359537,6,0
Wriddhiman Saha,c Abhishek Sharma b Kumar,0,3.0,4,0.0,0.0,0.00,1359536,1,1
Shubman Gill,c Abdul Samad b Kumar,101,58.0,100,13.0,1.0,174.13,1359536,2,1
Sai Sudharsan,c Natarajan b Jansen,47,36.0,70,6.0,1.0,130.55,1359536,3,1
Hardik Pandya,c Tripathi b Kumar,8,6.0,7,1.0,0.0,133.33,1359536,4,1
David Miller,c Markram b Natarajan,7,5.0,8,1.0,0.0,140.00,1359536,5,1
Rahul Tewatia,c Jansen b Fazalhaq Farooqi,3,3.0,7,0.0,0.0,100.00,1359536,6,1
Dasun Shanaka,not out ,9,7.0,12,1.0,0.0,128.57,1359536,7,0
Rashid Khan,c Klaasen b Kumar,0,1.0,2,0.0,0.0,0.00,1359536,8,1
Noor Ahmad,run out (Klaasen/Kumar),0,1.0,1,0.0,0.0,0.00,1359536,9,1
Mohammed Shami,c Jansen b Kumar,0,1.0,3,0.0,0.0,0.00,1359536,10,1
Mohit Sharma,not out ,0,1.0,1,0.0,0.0,0.00,1359536,11,0
Ruturaj Gaikwad,c Arora b Varun,17,13.0,19,2.0,0.0,130.76,1359535,1,1
Devon Conway,c Singh b Thakur,30,28.0,51,3.0,0.0,107.14,1359535,2,1
Ajinkya Rahane,c Roy b Varun,16,11.0,24,1.0,1.0,145.45,1359535,3,1
Ambati Rayudu, b Narine,4,7.0,14,0.0,0.0,57.14,1359535,4,1
Shivam Dube,not out ,48,34.0,55,1.0,3.0,141.17,1359535,5,0
Moeen Ali, b Narine,1,2.0,5,0.0,0.0,50.00,1359535,6,1
Ravindra Jadeja,c Varun b Arora,20,24.0,43,0.0,1.0,83.33,1359535,7,1
MS Dhoni,not out ,2,3.0,4,0.0,0.0,66.66,1359535,8,0
Virat Kohli,c Jaiswal b Asif,18,19.0,31,1.0,0.0,94.73,1359534,1,1
Faf du Plessis,c Jaiswal b Asif,55,44.0,65,3.0,2.0,125.00,1359534,2,1
Glenn Maxwell, b Sandeep Sharma,54,33.0,51,5.0,3.0,163.63,1359534,3,1
Mahipal Lomror,c Jurel b Zampa,1,2.0,5,0.0,0.0,50.00,1359534,4,1
Dinesh Karthik,lbw b Zampa,0,2.0,3,0.0,0.0,0.00,1359534,5,1
Michael Bracewell,not out ,9,9.0,21,0.0,0.0,100.00,1359534,6,0
Anuj Rawat,not out ,29,11.0,12,3.0,2.0,263.63,1359534,7,0
Prabhsimran Singh, b Mukesh Kumar,103,65.0,87,10.0,6.0,158.46,1359533,1,1
Shikhar Dhawan,c Rossouw b Sharma,7,5.0,9,0.0,1.0,140.00,1359533,2,1
Liam Livingstone, b Sharma,4,5.0,15,1.0,0.0,80.00,1359533,3,1
Jitesh Sharma, b Patel,5,5.0,8,1.0,0.0,100.00,1359533,4,1
Sam Curran,c Aman Hakim Khan b Dubey,20,24.0,39,1.0,0.0,83.33,1359533,5,1
Harpreet Brar,c Marsh b Kuldeep Yadav,2,5.0,9,0.0,0.0,40.00,1359533,6,1
M Shahrukh Khan,run out (Salt/Ahmed),2,4.0,22,0.0,0.0,50.00,1359533,7,1
Sikandar Raza,not out ,11,7.0,11,0.0,1.0,157.14,1359533,8,0
Rishi Dhawan,not out ,0,0.0,1,0.0,0.0,-,1359533,9,0
Anmolpreet Singh,c & b Mishra,36,27.0,46,7.0,0.0,133.33,1359532,1,1
Abhishek Sharma,c de Kock b Yudhvir Singh,7,5.0,14,1.0,0.0,140.00,1359532,2,1
Rahul Tripathi,c de Kock b Yash Thakur,20,13.0,19,4.0,0.0,153.84,1359532,3,1
Aiden Markram,st de Kock b Pandya,28,20.0,28,2.0,1.0,140.00,1359532,4,1
Heinrich Klaasen,c Mankad b Avesh Khan,47,29.0,52,3.0,3.0,162.06,1359532,5,1
Glenn Phillips, b Pandya,0,1.0,2,0.0,0.0,0.00,1359532,6,1
Abdul Samad,not out ,37,25.0,41,1.0,4.0,148.00,1359532,7,0
Bhuvneshwar Kumar,not out ,2,1.0,6,0.0,0.0,200.00,1359532,8,0
Ishan Kishan,lbw b Rashid Khan,31,20.0,38,4.0,1.0,155.00,1359531,1,1
Rohit Sharma,c Tewatia b Rashid Khan,29,18.0,34,3.0,2.0,161.11,1359531,2,1
Suryakumar Yadav,not out ,103,49.0,73,11.0,6.0,210.20,1359531,3,0
Nehal Wadhera, b Rashid Khan,15,7.0,12,1.0,1.0,214.28,1359531,4,1
Vishnu Vinod,c Manohar b Sharma,30,20.0,36,2.0,2.0,150.00,1359531,5,1
Tim David,c & b Rashid Khan,5,3.0,6,1.0,0.0,166.66,1359531,6,1
Cameron Green,not out ,3,3.0,18,0.0,0.0,100.00,1359531,7,0
Jason Roy,c Hetmyer b Boult,10,8.0,14,2.0,0.0,125.00,1359530,1,1
Rahmanullah Gurbaz,c Sandeep Sharma b Boult,18,12.0,23,1.0,2.0,150.00,1359530,2,1
Venkatesh Iyer,c Boult b Chahal,57,42.0,68,2.0,4.0,135.71,1359530,3,1
Nitish Rana,c Hetmyer b Chahal,22,17.0,26,2.0,0.0,129.41,1359530,4,1
Andre Russell,c Ashwin b Asif,10,10.0,19,0.0,1.0,100.00,1359530,5,1
Rinku Singh,c Root b Chahal,16,18.0,30,0.0,1.0,88.88,1359530,6,1
Shardul Thakur,lbw b Chahal,1,2.0,5,0.0,0.0,50.00,1359530,7,1
Anukul Roy,not out ,6,6.0,20,0.0,0.0,100.00,1359530,8,0
Sunil Narine,c Root b Sandeep Sharma,6,5.0,9,1.0,0.0,120.00,1359530,9,1
Ruturaj Gaikwad,c Aman Hakim Khan b AR Patel,24,18.0,39,4.0,0.0,133.33,1359529,1,1
Devon Conway,lbw b AR Patel,10,13.0,28,1.0,0.0,76.92,1359529,2,1
Ajinkya Rahane,c & b Lalit Yadav,21,20.0,31,2.0,0.0,105.00,1359529,3,1
Moeen Ali,c Marsh b Kuldeep Yadav,7,12.0,13,0.0,0.0,58.33,1359529,4,1
